No,ID_Perfume,perfume,brand,price,size,concentrate,top notes,mid notes,base notes,situation,gender
44,HRMN-0044,Darker Shade of ORGSM,HMNS,380.000,100,EDP,"ORANGE BLOSSOM, APPLE, PEPPER","CYPRIOL, CARAMEL, PATCHOULI ","VANILLA BEANS, CEDARWOOD, AMBER, VETIVER",Night,FEMALE
45,HRMN-0045,Farhampton,HMNS,369.000,100,XDP,"BERGAMOT, RIPE FRUIT","LAVENDER, ORANGE BLOSSOM FLOWER","LABDANUM, CEDAR WOOD, TONKA BEAN",Versatile,MALE
46,HRMN-0046,Essence Of The Sun (EOS),HMNS,369.000,100,EDP,"Bergamot, Coriander Seeds, Pink Pepper","Tropical Flower, Jasmine, Rose, Solar Accord	","Vanilla, Tonka Bean, Ambrette, Cedar Wood",Day,FEMALE
47,HRMN-0047,Essence of The Night,HMNS,398.000,100,EDP,"Bergamot, Tuberose","Ylang ylang, violet leaves, jasmine absolute","amberwood, musk",Night,FEMALE
48,HRMN-0048,Unrosed,HMNS,374.000,100,EDP,FLORAL,EARTHY,NOTES MUSKY,Versatile,FEMALE
49,HRMN-0049,The Perfection,HMNS,398.000,100,EDP,"BERGAMOT, ELEMI, CLOVE, NUTMED","LAVENDER, TAGETES, LILY OF THE VALLEY, GREEN PEAR","DRIFTWOOD, SANDALWOOD, LEATHER, WHITE MUSK",Versatile,MALE
50,HRMN-0050,The Prestige,HMNS,415.000,100,EDP,"GRAPEFRUIT, TOBACCO LEAVES, PINK PEPPER JUNGLE ESSENCE","PATCHOULI, GERANIUM, ORRIS","TOLU, VETIVER, LABDANUM",Night,MALE
51,HRMN-0051,Untitled Humans,HMNS,395.000,100,EDP,"CORIANDER, VIOLET LEAVES, AMBRETTE","FIGOLIDE, VELVET NOTE, ROSE ABSOLUTE","SANDALWOOD, CYPRIOL, VANILLA JUNGLE ESSENCE",Versatile,Unisex
52,HRMN-0052,Unpatched,HMNS,398.000,100,EDP,"JASMINE SAMBAC, VANILLA MADAGASCAR, COKELAT","KARAMEL, AKIGALAWOOD, MAWAR","TONKA BEAN BRAZIL, AMBER, MUSK",Night,Unisex
53,HRMN-0053,Ambar Janma,HMNS,500.000,100,EDP,"BERGAMOT, ELEMI, CLOVE, NUTMED","LAVENDER, TAGETES, LILY OF THE VALLEY, GREEN PEAR","DRIFTWOOD, SANDALWOOD, LEATHER, WHITE MUSK",Versatile,UNISEX
54,HRMN-0054,Addict,HMNS,249.000,50,EDP,BERRIES,"RED ROSE, COFFEE","PATCHOULI, AMBER, TONKA BEANS",Night,MALE
55,HRMN-0055,FWB,ONIX,203150,50,EDP,"Bergamot, Lemon, Orange, Apple, Green tea","Freesia, White Floral, Amber, Peach, Coconut","Amber, Vetiver, Musk, Vanilla, Cedarwood, Caramel",Versatile,Male
56,HRMN-0056,GALA,ONIX,278800,50,XDP,"Cassis, Peach, & Opoponax","Jasmine, Magnolia, Rose, Oudh, & Myyrh","Patchoulli, Amber, Cedarwood, Guaiac Wood, Musk & Vanilla",Versatile,Unisex
57,HRMN-0057,OSCAR,ONIX,278800,50,XDP,Floral,Amber & Lactone,Musk & Moss Amber,Versatile,Unisex
58,HRMN-0058,SENOPARTY,ONIX,203150,50,EDP,"Saffron, fir, bergamot, nagarmotha","Oud, white floral, tageta","Amber, musk, caramel cedar, moss",Night,Unisex
59,HRMN-0059,SCORPIO,ONIX,122320,30,EDP,"Pink Pepper, Orange Blossom","Jasmine, Coffee","Vanilla, Patchouli, Cedarwood",Night,Unisex
60,HRMN-0060,Call Me Bento,ONIX,122320,30,EDP,"Marigold, Bergamot, Lemon, Prune, Tagete","Jasmine sambac, Ylang, Rose, Coconut, Clove, Orange flower","Amber Benzoin, Musk, Vanilla, Cabrueva, Cedar",Night,Unisex
61,HRMN-0061,CHILLIN' BABY ,ONIX,122320,30,EDP,"peach, apple, melony","Floral bouquet of mimosa, tuberose, freesia, jasmine and ylang ylang","sandalwood, musk, oakmoss",Day,Unisex
62,HRMN-0062,FRESHBOOK PASSION,ONIX,122320,30,EDP,"Fruity cocktail of blackcurrant, red apple, raspberry and mango","Consist of floral bouquet of jasmine, violet, plum and blach fig","Musk, sandalwood, cedarwood, amber and vanilla",Day,Unisex
63,HRMN-0063,GRATITUDE,ONIX,203150,50,EDP,"Green, Fruity, Ozone","White Floral, Caramel, Lactone, Violet","Amber, Musk, Vanilla, Sandalwood, Cedarwood",Versatile,Unisex
64,HRMN-0064,MEXICOLA,ONIX,203150,50,EDP,"Raspberry, apple, pineapple","Jasmine, muguet, cyclamen, freesia","Sandalwood, coconut, musk, tonka, vanilla, caramel",Day,Unisex
65,HRMN-0065,CONCERT,ONIX,278800,50,XDP,"Bergamot, Pink Pepper, & & Mandarin",Frankincense & Jasmine,"Sandalwood, Musk, Patchoulli, & Vanilla",Night,Unisex
66,HRMN-0066,Rose d'amour,LAYR,309.000,50,XDP,"Lychee, Bergamot, Incense, Pear, Heirloom Tomato","Bulgarian Rose, Grapefruit, Peony, Lily of the Valley","Vanilla Bali, Vetiver, Musk, Cashmere Wood",Day,Female
67,HRMN-0067,BEFORE PETRICHOR,LAYR,329.000,50,XDP,"Basil, Spearmint, Neroli, Lemon, Petitgrain, Mandarin, Watermelon","Cyclamen, White Floral, Orange Flower, Rose, Cedarleaf, Olibanum","Vetiver, Musk, Olibanum, Moss",Versatile,Unisex
68,HRMN-0068,CHRONIC TONIC,LAYR,249.000,50,XDP,"Chronic Cinnamon, Grapefruit, Raspberry, Cypress, Thyme, Rosemary.","Lactone, Iris, Muguet, Rose, Saffron, Violet, Floral, Mandarin Orange.","Musk, Moss, Vanilla Amber, Patchouli, Vetwer, Leather, Sandalwood, Leather, Olibanum.",Night,Male
69,HRMN-0069,Empty Room,LAYR,329.000,50,XDP,"Paper, Cotton, Lemon, Pink Peppercorn, Fig Leaves","Rose, Orange Flower, Dried Flower Base Dust, Musk, Incense, Sandalwood",-,Versatile,Unisex
70,HRMN-0070,FORBIDDEN GARDEN,LAYR,199.000,50,XDP,"Green Apple, Rose, Blackberry, Geranium, Violet","Jasmine Sambac, Ylang ylang, Orris, Raspberry, Red Apple","Musk, Patchouli, Sandalwood, Vanilla, Vetiver",Night,Female
71,HRMN-0071,GET NAKED,LAYR,199.000,50,XDP,"Tobacco, Green Pear, Violet, Orange, Petitgrain, Galbanum, Pine.","Magnolia, Sandalwood, Rose, Pineapple, Lavender, Geranium, Freesia.","Amber, Cedar, Musk, Patchouli, Leather, Moss, Tonka.",Versatile,Unisex
72,HRMN-0072,KYOTO JAZZ,LAYR,289.000,50,XDP,"Matcha, Green, Yuzu, Pear, Bergamot, Cocoa, Cardamom, Lavandin, Ozone.","Ylang ylang, Violet, Beeswax, Orange Blossom, Lily of the Valley, Cassis, Pineapple.","Musk, Sandalwood, Amber, Iris, Cashmere, Vanilla, Patchouli, Moss, Labdanum.",Day,Unisex
73,HRMN-0073,High Tide Low Tide,LAYR,329.000,50,XDP,"Lemon, Orange Flower, Tangerine, Bergamot, Rosemary","Driftwood, Coastal Trees, Earthy Sand","Musk, Cedarwood, Wild Patchouli",Versatile,Unisex
74,HRMN-0074,MIDNIGHT HAZE,LAYR,209.000,50,XDP,"Pink Pepper, Cardamon, Lavender, Tuberose, Tulip, Grass.","Oud, Jasmine, Cedarwood, Lily of the Valley, Ylang ylang, Orange Flower.","Amber, Vanilla, Musk, Sandalwood, Tonka Bean, Vetiver.",Night,Female
75,HRMN-0075,SECOND SKIN,LAYR,199.000,50,XDP,"Blackpepper, Bergamot, Clary Sage, Mandarin, Green, Tagete","Rose, Orange Flower, Violet, Lily of the Valley, Jasmine, Fruity","Patchouli, Amber, Musk, Cedar, Lactone, Labdanum, Vanilla",Day,Unisex
76,HRMN-0076,SLOW DANCE,LAYR,219.000,50,XDP,"Plum, Black Pepper, Bergamot, Cassis, Green Apple, Green Tea, Thyme","Rose Turkish, Magnolia, Jasmine Sambac, Iris, Freesia, Clove, Fruity, Clary Sage, Nutmeg","Amber, Vanilla, Vetiver, Patchouli, Caramel, Musk",Night,Female
77,HRMN-0077,VELVET DREAM,LAYR,199.000,50,XDP,"Black Cherry, Cypress, Elem, Citrus, Labdanum, Orange, Almond.","Patchouli, Olibanum, Guaiacwood, Strawberry, Blackcurrant, Whiskey Bourbon.","Cedar, Vetwer, Musk, sandalwood, Amber, Vanilla, Raspberry, Peach, Heliotrope.",Versatile,Unisex
78,HRMN-0078,VILA ENIGMA,LAYR,199.000,50,XDP,"Mint, Sunscreen, Coconut Milk, Honeysuckle, Pear Blossom, Figolide","Tuberose, Jasmine Sambac, Gardenia, Ambrette","Bourbon Vanilla, Sandalwood, Musk, Patchouli, Ambergris",Day,Male
79,HRMN-0079,Heiress of Minahasa,Project 1945,345000,100,EDP,"Bergamot, Mandarin, Pepper, Rhubarb","Rose, Incense, Patchouli, Cashmere Wood","Vetiver, Sandalwood, Benzoin, Musky",Night,Unisex
80,HRMN-0080,Symphony of Borobudur,Project 1945,345000,100,EDP,"Fig, Mandarin, Tuberose","Violet, Incense, Sandalwood, Milk","Vanilla, Tonka, Benzoin, Musky",Versatile,Unisex
81,HRMN-0081,Bamboe Roencing,Project 1945,325000,100,EDP,"Bergamot, Marine, Green Leaves","Freesia, Waterlily, Osmanthus, White Jasmine, Rose","Musk, Precious Woods, Dry Fruits",Day,Unisex
82,HRMN-0082,The Great Batavia,Project 1945,325000,100,EDP,"Apple, Lemon, Watermelon, Spearmint","Lavender, Clove Indonesia, Geranium, Elemi","Patchouli Indonesia, Vanilla, Tonka Bean, Moss",Versatile,Unisex
83,HRMN-0083,Horas,Project 1945,375000,100,EDP,"Rum, chocolate","coffee, caramel, almond, heliotrope","vetiver, sandalwood",Night,Unisex
84,HRMN-0084,Petruk,Project 1945,375000,100,EDP,"lemon, apple, lavender, pepper","leather, cardamom, rose","cedarwood, vetiver",Versatile,Unisex
85,HRMN-0085,Samosir,Project 1945,375000,100,EDP,"Bergamot, Green","Jasmine, Honeysuckle, Green Tea, Honey","Labdanum, Musk",Day,Unisex
86,HRMN-0086,Waters of Maluku,Project 1945,325000,100,EDP,"Grapefruit, Carrot, Green Tea","Lotus, Peony, Cinnamon","Clove, Cistus, Incense, Musk",Day,Unisex
87,HRMN-0087,Fields of Ubud,Project 1945,325000,100,EDP,"Ambrette Seeds, Buchu Leaves, Bergamot, Elemi","Lavender, Sea Salt, Sage, Dried Fruit","Vetiver Java, Sandalwood, Oakmoss",Day,Unisex
88,HRMN-0088,Princess of Java,Project 1945,325000,100,EDP,"Peach, Green Pear, Bitter Orange","uberose, Neroli, Jasmine, Orange Blossom","Vanilla, Sandalwood, Musk, Amber",Versatile,Unisex
89,HRMN-0089,Sunset in Sumba,Project 1945,325000,100,EDP,"Mandarin, Red apple, Cardamom, Elemi","Lavender, Incense, Clove","Patchouli, Vanilla",Night,Unisex
90,HRMN-0090,Nusantara's Embrace,Project 1945,295000,100,EDP,"Citrus, Incense, Star Anise","Rice, Black Orris, Water Lily","Sesame, Sandalwood, Hay",Versatile,Unisex
91,HRMN-0091,Apresiasi,Project 1945,295000,100,EDP,"Bergamot, Ambrette Seed, Orange","Neroli, Petitgrain, Musk","Vetiver, Cedarwood, Amber",Day,Unisex
92,HRMN-0092,Jeruk Of Kintamani ,Bali Surfers Perfume,299000,100,EDP,"Orange, Grapefruit","Lime, Green Tea","Musk, Cedarwood",Day,Unisex
93,HRMN-0093,Papan selancar for her,Bali Surfers Perfume,225000,100,EDP,"Strawberry Candy, Soursop, Watermelon",Soursop,Soapy,Day,Female
94,HRMN-0094,Dreamland for Her,Bali Surfers Perfume,225000,100,EDP,Biscuit Butter,-,-,Night,Female
95,HRMN-0095,Surfing club,Bali Surfers Perfume,199000,100,EDP,Sweet orange,Woody,-,Day,Unisex
96,HRMN-0096,Festival Layangan,Bali Surfers Perfume,225000,100,EDP,"Lemon, Green","Vanilla, Patchouli","Amber, musk",Versatile,Unisex
97,HRMN-0097,The Ubud 3,Bali Surfers Perfume,250000,100,EDP,Pineapple ,Saffron,-,Versatile,Unisex
98,HRMN-0098,Balangan and Me,Bali Surfers Perfume,225000,100,EDP,grapefruit,"Cedar, tonka bean",-,Day,Unisex
99,HRMN-0099,Dreamland ,Bali Surfers Perfume,225000,100,EDP,"Nutmeg, Lavender",Patchouli,-,Night,Male
100,HRMN-0100,Bali Cliff 2,Bali Surfers Perfume,225000,100,EDP,Citrussy,"Lavender, Almond, Flowery, Saparila","Vanilla, Amber, Woody",Night,Male
101,HRMN-0101,Bali Cliff 1,Bali Surfers Perfume,225000,100,EDP,"Pink Papper, Bergamot, Apple, Cardamom","Oakmoss, Cinnamon, Lavender","Chestnut, Vanilla, Cedarwood",Night,Male
102,HRMN-0102,Papan selancar ,Bali Surfers Perfume,225000,100,EDP,"Hazelnut, Nutty, Honey",Bergamot,"Vanila, Patchouli",Day,Unisex
103,HRMN-0103,Double SIX,Bali Surfers Perfume,225000,100,EDP,"Citrussy, Aromatic , Fresh Spicy, Aquatic",-,-,Day,Unisex
104,HRMN-0104,The Ubud ,Bali Surfers Perfume,250000,100,EDP,"Peach, Rose",-,"Patchouli, Musk",Versatile,Unisex
105,HRMN-0105,Kuta 7 pm,Bali Surfers Perfume,225000,100,EDP,"Lychee, Citrussy ","Bamboo, Tea","Musk, Amber",Night,Unisex
106,HRMN-0106,Kuta 7 am,Bali Surfers Perfume,110000,37,EDP,"Lychee, Citrussy, Jasmine, Flowery","Musk, Woody",-,Day,Unisex
107,HRMN-0107,For her,Bali Surfers Perfume,225000,100,EDP,"citrus, bergamot","rose, jasmine","musk, amber",Day,Female
108,HRMN-0108,Blue Point,Bali Surfers Perfume,225000,100,EDP,"Cytrus, Fruity, Oceanic","Flowery, Worm Spicy, Marine","Musky, Woody",Day,Unisex
109,HRMN-0109,Bali Cliff for her,Bali Surfers Perfume,225000,100,EDP,"Fruity, Watermellon",-,-,Day,Female
110,HRMN-0110,Zephyr,Oullu,272000,50,EDP,"licorice, almond","ground pistachio, rhubarb","ambergris, vanilla",Versatile,Unisex
111,HRMN-0111,Phobos,Oullu,233000,50,EDP,"Bitter Orange, Wormwood, Saffron","Muguet, Pink Pepper, Jasmine","Amber, Musk, Tonka Bean, warm woody",Night,Male
112,HRMN-0112,Dia,Oullu,389000,50,EDP,"Yuzu, Poppy, Carambola","Ylang, Tuberose, Orange Blossom","Musk, Heliotrope, Oris",Versatile,Female
113,HRMN-0113,Solar Rays,Oullu,389000,50,EDP,"caramel popcorn, brown sugar, tangerine","orchid, Chinese osmanthus","tonka bean, bourbon vanilla, sandalwood",Night,Unisex
114,HRMN-0114,Deep Dive,Oullu,389000,50,EDP,"lemon blossom, barley, ozonic","sage, hinoki","oak moss, cashmere wood",Versatile,Unisex
115,HRMN-0115,Aether,Oullu,389000,50,EDP,"darjeerling, sapodilla","cucumber , magnolia","virginia cedar, jasmine",Day,Unisex
116,HRMN-0116,Ego,Oullu,389000,50,EDP,"cassis, fig","violet, geranium","cedar, patchouli",Night,Unisex
117,HRMN-0117,Umbra,Oullu,389000,50,EDP,"amalfi lemon, grapefruit","clove, blackpepper","oak moss, pine Perfect",Day,Unisex
118,HRMN-0118,Zephyr,Oullu,389000,50,EDP,"bergamot, lemon","jasmine, apricot","amber, sandalwood",Day,Unisex
119,HRMN-0119,Bird Song,Oullu,291000,50,EDP,"ineapple, water lily, hortensia","kumquat plum, anise","amberwood, myrrh",Versatile,Unisex
120,HRMN-0120,One and Only,Oullu,195000,50,EDT,"apple, melon","marine, lychee","jasmine, musk, amber",Day,Unisex
121,HRMN-0121,Nothing,USUAL,349000,50,EDP,Fruity,White floral,"Ambroxide, amber",Versatile,Unisex
122,HRMN-0122,Smells Like Nothing,USUAL,324500,50,EDP,ozonic,floral,"Ambroxide, amber, musk",Versatile,Unisex
123,HRMN-0123,Jasmine Bouquet,USUAL,197000,50,EDP,Marigold,"jasmine, honey","labdanum, benzoin, vanilla",Night,Female
124,HRMN-0124,Bergamore,USUAL,269000,50,EDP,"Bergamot, mandarin","black tea, ginger","ambroxide, amber",Versatile,Unisex
125,HRMN-0125,Our of Shower,USUAL,229000,50,EDP,"Bergamot, pepper","geranium, lavender","patchouli, vetiver",Versatile,Male
126,HRMN-0126,Blush,USUAL,229000,50,EDP,"Zapota, Melon Seeds","Sandalwood, Magnolia, Violet",Hedione,Versatile,Female
127,HRMN-0127,Rosie De Marrie,The Body Tale,258000,50,XDP,"Mandarin, Lemon, Bergamot, Pear, Pink Pepper","Rose, Orange Blossom, Vetiver","Patchouli, Vanilla, Caramel, Amberwood",Day,Female
128,HRMN-0128,Cherry Pop,The Body Tale,258000,50,XDP,Bitter Almond,"Rose, Cherry","Vanilla, sandal wood, tonka bean",Day,Female
129,HRMN-0129,Sip Me Litch,The Body Tale,258000,50,XDP,"lychee, apple",floral,"sugar, amber",Day,Female
130,HRMN-0130,Spice Nomad,The Body Tale,258000,50,XDP,"Apple, Smoke, Cinnamon","Tobacco, Moss, Vetiver",Vanilla,Night,Male
131,HRMN-0131,Summer Splash,The Body Tale,258000,50,XDP,"soda, bergamot","amber, woody",orange blossom,Day,Unisex
132,HRMN-0132,Hojicha Latte,The Body Tale,258000,50,XDP,Hojicha tea,milk,"tonka bean, brown sugar, musk",Day,Unisex
133,HRMN-0133,Portrait of Kyoto,The Body Tale,228000,50,XDP,"earl grey tea, apple, honey, mandarin","jasmine, black tea, fresia, irish","musk, pepper, sandalwood, amber",Day,Female
134,HRMN-0134,Verona,The Body Tale,258000,50,XDP,"black currant, pink pepper","rose, geranium","patchouli, moss, vetiver, musk",Day,Female
135,HRMN-0135,Lady M,The Body Tale,258000,50,XDP,balsamic,balsamic,"vanilla, musk",Versatile,Female
136,HRMN-0136,Kairy,The Body Tale,228000,50,XDP,"Bergamot, pink pepper","turkish rose, floral, coconut","vanilla, absolute tonka bean, cedarwood",Versatile,Female
137,HRMN-0137,Nectar of Nile,The Body Tale,258000,50,XDP,"Irish, Green Notes, Juniper Berries","Jasmine, Orrid, Root","Pink Pepper, Vetiver, Leather",Day,Unisex
138,HRMN-0138,Juliette,The Body Tale,258000,50,XDP,"cinnamon, cardamom, bergamot","jasmine, ylang ylang, sage","amber, woody, leather, labdanum",Versatile,Female
139,HRMN-0139,Diana,The Body Tale,258000,50,XDP,strawberry,"tuberose, jasmine",amber,Day,Female
140,HRMN-0140,Teamomile,The Body Tale,228000,50,XDP,almond,"chamomile, jasmine, musk","cedre, vanilla, bois de santal",Versatile,Female
141,HRMN-0141,Plain Jane,The Body Tale,228000,50,XDP,"lemon, bergamot, tagetes, black currant","violet, irish, cyclamen, jasmine","vetiver, musk",Versatile,Female
142,HRMN-0142,Flower Dome,The Body Tale,228000,50,XDP,"rose violet, blackberry","peomy, jasmine","musk, sandalwood, patchouli, ",Versatile,Female
143,HRMN-0143,Leviora,The Body Tale,228000,50,XDP,"lily, galbanium","lily, vanila","musk, sandalwood",Versatile,Female
144,HRMN-0144,Humbling Forest,Kahf,76.950,35,EDT,"Cypress, Rosemary, Grapefruit","Cedarwood, Guaiac Wood, Jasmine.","Sandalwood, Patchouli, Musk.",Versatile,MALE
